numero_atomique,symbole,nom,famille_d_element,masse_atomique,point_de_fusion_[°C],point_d_ebullition_[°C],date_de_decouverte,decouvert_par,description
1,H,hydrogène,non-métal,"1,008","-259,16","-252,879",1766,Henry Cavendish,"L'hydrogène est le principal constituant du Soleil et de la plupart des étoiles (dont l'énergie provient de la fusion thermonucléaire de cet hydrogène), et de la matière interstellaire ou intergalactique. Sur Terre, il est surtout présent à l'état d'eau liquide, solide (glace) ou gazeuse (vapeur d'eau), mais on le trouve aussi dans les émanations de certains volcans sous la forme de H2 et de CH4 (méthane)."
2,He,hélium,gaz noble,"4,0026022","-272,2","-268,928",1868,Pierre Janssen,"L'hélium est, après l'hydrogène, l'élément le plus abondant dans l'Univers. L'essentiel de cet hélium a été produit lors de la nucléosynthèse primordiale mais d'autres processus en produisent, notamment la radioactivité alpha. Le mot hélium a été construit à partir du grec Helios, « le Soleil », cet élément ayant été observé pour la première fois dans le spectre solaire le 18 août 1868."
3,Li,lithium,alcalin,"6,94","180,5","1329,85",1817,Johan August Arfwedson,"Pur, le lithium est un métal mou et gris argenté et le plus léger des éléments solides. Il s'oxyde rapidement au contact de l'air et de l'eau, devenant gris foncé, puis rapidement anthracite, puis noir. Il est utilisé pour fabriquer des piles électriques et batteries d'accumulateurs rechargeables ou à haute tension."
4,Be,béryllium,alcalino-terreux,"9,01218315","1286,85","2468,85",1797,Louis Nicolas Vauquelin,"Son nom vient du grec beryllos qui désignait l'aigue-marine ou l'émeraude. Quasi aussi solide que l'aluminium, le béryllium est moins dense. Il est utilisé dans de nombreux domaines, ce qui a conduit à le mentionner dans la liste des 27 matières premières minérales critiques. Du fait de sa toxicité, il est, là où cela est possible, remplacé par des matériaux de substitution."
5,B,bore,metalloïde,"10,81","2075,85","3926,85",1808,Joseph Louis Gay-Lussac,"Le bore se trouve à la surface de la Terre, sous forme de borates, et dans les océans sous forme d'acide borique. Il est utilisé dans l'Egypte antique pour les momies, par les Romains pour le verre. Il est présent dans les lessives, ce qui en fait un traceur de pollution urbaine. On le détecte grâce à la curcumine, avec laquelle il forme le rouge de rosocyanine."
6,C,carbone,autre non-métal,"12,011",-,-,-3000,Egypte ancienne,"Le nom carbone vient du latin carbonis (« charbon »). La combustion du carbone sous toutes ses formes a été le fondement du développement technologique dès la préhistoire. Les matériaux à base de carbone ont des applications dans de nombreux domaines : composites, batteries lithium-ion, dépollution de l'air et de l'eau, électrodes pour les fours à arc ou la synthèse de l'aluminium, etc."
7,N,azote,non-métal,"14,007",-210,"-195,795",1772,Daniel Rutherford,"L'azote a de nombreux usages industriels. Il est notamment massivement employé comme engrais en agriculture (sous forme de composés d'ammonium), son principal usage en Europe, néfaste pour l'environnement. L'ammoniac (NH3) a des propriétés pour nettoyer et une forte odeur, le protoxyde d'azote (N2O), aussi dit ""gaz hilarant"" est utilisé en anesthésie."
8,O,oxygène,non-métal,"15,999","-218,79","-182,962",1774,Carl Wilhelm Scheele,"L'oxygène est un non-métal qui forme très facilement des composés, notamment des oxydes, avec pratiquement tous les autres éléments chimiques. C'est, en masse, le troisième élément le plus abondant de l'Univers après l'hydrogène et l'hélium, et le plus abondant des éléments de l'écorce terrestre"
9,F,fluor,halogène,"18,99840316","-219,67","-188,12",1886,André-Marie Ampère,"Aux conditions normales de température et de pression, le corps simple fluor se présente sous forme de difluor F2, gaz diatomique jaune pâle, très toxique et extrêmement corrosif. Le fluor est le plus réactif des éléments chimiques, il est d'ailleurs généraement lié à d'autres éléments."
10,Ne,néon,gaz noble,"20,17976","-248,59","-246,046",1898,Morris Travers,"Le néon est l'un des éléments les plus abondants de l'univers, mais il est relativement rare sur Terre, car, comme l'hélium, une grande partie du gaz s'est échappée dans l'espace. On le trouve principalement dans l'atmosphère terrestre dont il est un des gaz à l'état de traces ; seules de petites quantités sont piégées dans les roches."
